id,name,version,layout,released_at,image_uris,cost,inkwell,ink,inks,type,classifications,text,keywords,move_cost,strength,willpower,lore,rarity,illustrators,collector_number,lang,flavor_text,tcgplayer_id,legalities,set,prices
crd_dbc44ab9437a44568efdf23b37f3f278,Maximus,Relentless Pursuer,normal,2023-08-18,"{'digital': {'small': 'https://cards.lorcast.io/card/digital/small/crd_dbc44ab9437a44568efdf23b37f3f278.avif?1709690747', 'normal': 'https://cards.lorcast.io/card/digital/normal/crd_dbc44ab9437a44568efdf23b37f3f278.avif?1709690747', 'large': 'https://cards.lorcast.io/card/digital/large/crd_dbc44ab9437a44568efdf23b37f3f278.avif?1709690747'}}",3,True,Amber,,['Character'],"['Dreamborn', 'Ally']","HORSE KICK When you play this character, chosen character gets -2 {S} this turn.",[],,3,3,1,Uncommon,['Kendall Hale'],11,en,"He pursues his quarry with courage, discipline, and a touch of class.",494101,{'core': 'legal'},"{'id': 'set_7ecb0e0c71af496a9e0110e23824e0a5', 'code': '1', 'name': 'The First Chapter'}","{'usd': '0.03', 'usd_foil': '0.41'}"
crd_682afbbf65fa43ec8d17d382183a81e0,Mickey Mouse,True Friend,normal,2023-08-18,"{'digital': {'small': 'https://cards.lorcast.io/card/digital/small/crd_682afbbf65fa43ec8d17d382183a81e0.avif?1709690747', 'normal': 'https://cards.lorcast.io/card/digital/normal/crd_682afbbf65fa43ec8d17d382183a81e0.avif?1709690747', 'large': 'https://cards.lorcast.io/card/digital/large/crd_682afbbf65fa43ec8d17d382183a81e0.avif?1709690747'}}",3,True,Amber,,['Character'],"['Storyborn', 'Hero']",,[],,3,3,2,Uncommon,['Dave Beauchene'],12,en,"As long as he's around, newcomers to the Great Illuminary will always get a warm welcome.",493476,{'core': 'legal'},"{'id': 'set_7ecb0e0c71af496a9e0110e23824e0a5', 'code': '1', 'name': 'The First Chapter'}","{'usd': '0.05', 'usd_foil': '0.75'}"
crd_e40a35d966914476b267935d79337667,Minnie Mouse,Beloved Princess,normal,2023-08-18,"{'digital': {'small': 'https://cards.lorcast.io/card/digital/small/crd_e40a35d966914476b267935d79337667.avif?1709690747', 'normal': 'https://cards.lorcast.io/card/digital/normal/crd_e40a35d966914476b267935d79337667.avif?1709690747', 'large': 'https://cards.lorcast.io/card/digital/large/crd_e40a35d966914476b267935d79337667.avif?1709690747'}}",2,True,Amber,,['Character'],"['Dreamborn', 'Princess']",,[],,2,3,1,Common,['Kendall Hale'],13,en,"Wherever the princess goes, her musketeers are... well, they're around somewhere, probably.",493498,{'core': 'legal'},"{'id': 'set_7ecb0e0c71af496a9e0110e23824e0a5', 'code': '1', 'name': 'The First Chapter'}","{'usd': '0.03', 'usd_foil': '0.27'}"
crd_6c18714222c749b8b16800630a5d26cf,Moana,Of Motunui,normal,2023-08-18,"{'digital': {'small': 'https://cards.lorcast.io/card/digital/small/crd_6c18714222c749b8b16800630a5d26cf.avif?1709690747', 'normal': 'https://cards.lorcast.io/card/digital/normal/crd_6c18714222c749b8b16800630a5d26cf.avif?1709690747', 'large': 'https://cards.lorcast.io/card/digital/large/crd_6c18714222c749b8b16800630a5d26cf.avif?1709690747'}}",5,True,Amber,,['Character'],"['Storyborn', 'Hero', 'Princess']","WE CAN FIX IT Whenever this character quests, you may ready your other Princess characters. They can't quest for the rest of this turn.",[],,1,6,3,Rare,['Nicholas Kole'],14,en,"""I am Moana of Motunui. You will board my boat, sail across the sea, and restore the heart of Te Fiti.""",492739,{'core': 'legal'},"{'id': 'set_7ecb0e0c71af496a9e0110e23824e0a5', 'code': '1', 'name': 'The First Chapter'}","{'usd': '0.22', 'usd_foil': '0.31'}"
crd_ef759d382c954423b841d6cbac94dfbc,Mr. Smee,Loyal First Mate,normal,2023-08-18,"{'digital': {'small': 'https://cards.lorcast.io/card/digital/small/crd_ef759d382c954423b841d6cbac94dfbc.avif?1709690747', 'normal': 'https://cards.lorcast.io/card/digital/normal/crd_ef759d382c954423b841d6cbac94dfbc.avif?1709690747', 'large': 'https://cards.lorcast.io/card/digital/large/crd_ef759d382c954423b841d6cbac94dfbc.avif?1709690747'}}",3,True,Amber,,['Character'],"['Dreamborn', 'Ally', 'Pirate']",,[],,2,5,1,Common,['Kamil Murzyn / Eri Welli'],15,en,"""Mr. Smee is a kind, gentle soul who lives to bring comfort and aid to a twisted old villain. Now, what good is kindness like that?""
—Peter Pan",508697,{'core': 'legal'},"{'id': 'set_7ecb0e0c71af496a9e0110e23824e0a5', 'code': '1', 'name': 'The First Chapter'}","{'usd': '0.07', 'usd_foil': '0.24'}"
crd_f1e67c29942c408daaa683520972e1ea,Prince Phillip,Dragonslayer,normal,2023-08-18,"{'digital': {'small': 'https://cards.lorcast.io/card/digital/small/crd_f1e67c29942c408daaa683520972e1ea.avif?1709690747', 'normal': 'https://cards.lorcast.io/card/digital/normal/crd_f1e67c29942c408daaa683520972e1ea.avif?1709690747', 'large': 'https://cards.lorcast.io/card/digital/large/crd_f1e67c29942c408daaa683520972e1ea.avif?1709690747'}}",4,False,Amber,,['Character'],"['Storyborn', 'Hero', 'Prince']","HEROISM When this character challenges and is banished, you may banish the challenged character.",[],,3,3,2,Uncommon,['Philipp Kruse'],16,en,"""The road to true love may be barred by still many more dangers, which you alone will have to face.""
—Flora",505946,{'core': 'legal'},"{'id': 'set_7ecb0e0c71af496a9e0110e23824e0a5', 'code': '1', 'name': 'The First Chapter'}","{'usd': '0.08', 'usd_foil': '0.43'}"
crd_389a5296a2114c10a16be57f0677429f,Pumbaa,Friendly Warthog,normal,2023-08-18,"{'digital': {'small': 'https://cards.lorcast.io/card/digital/small/crd_389a5296a2114c10a16be57f0677429f.avif?1709690747', 'normal': 'https://cards.lorcast.io/card/digital/normal/crd_389a5296a2114c10a16be57f0677429f.avif?1709690747', 'large': 'https://cards.lorcast.io/card/digital/large/crd_389a5296a2114c10a16be57f0677429f.avif?1709690747'}}",4,True,Amber,,['Character'],"['Storyborn', 'Ally']",,[],,3,5,1,Common,['Jenna Gray'],17,en,"""You gotta put your behind in your past.""",508701,{'core': 'legal'},"{'id': 'set_7ecb0e0c71af496a9e0110e23824e0a5', 'code': '1', 'name': 'The First Chapter'}","{'usd': '0.05', 'usd_foil': '0.2'}"
crd_63a9a93217614c00a186fe10b8791073,Rapunzel,Gifted with Healing,normal,2023-08-18,"{'digital': {'small': 'https://cards.lorcast.io/card/digital/small/crd_63a9a93217614c00a186fe10b8791073.avif?1709690747', 'normal': 'https://cards.lorcast.io/card/digital/normal/crd_63a9a93217614c00a186fe10b8791073.avif?1709690747', 'large': 'https://cards.lorcast.io/card/digital/large/crd_63a9a93217614c00a186fe10b8791073.avif?1709690747'}}",4,True,Amber,,['Character'],"['Storyborn', 'Hero', 'Princess']","GLEAM AND GLOW When you play this character, remove up to 3 damage from one of your characters. Draw a card for each 1 damage removed this way.",[],,1,5,2,Legendary,['Jochem Van Gool'],18,en,,506836,{'core': 'legal'},"{'id': 'set_7ecb0e0c71af496a9e0110e23824e0a5', 'code': '1', 'name': 'The First Chapter'}","{'usd': '44.31', 'usd_foil': '83.22'}"
crd_acaae5dbf3c341b8ad35851ac755cfd6,Sebastian,Court Composer,normal,2023-08-18,"{'digital': {'small': 'https://cards.lorcast.io/card/digital/small/crd_acaae5dbf3c341b8ad35851ac755cfd6.avif?1709690747', 'normal': 'https://cards.lorcast.io/card/digital/normal/crd_acaae5dbf3c341b8ad35851ac755cfd6.avif?1709690747', 'large': 'https://cards.lorcast.io/card/digital/large/crd_acaae5dbf3c341b8ad35851ac755cfd6.avif?1709690747'}}",2,True,Amber,,['Character'],"['Storyborn', 'Ally']",Singer 4 (This character counts as cost 4 to sing songs.),['Singer'],,2,2,1,Common,['Isaiah Mesq'],19,en,"""I should be writing symphonies, not tagging along after some headstrong teenager.""",504540,{'core': 'legal'},"{'id': 'set_7ecb0e0c71af496a9e0110e23824e0a5', 'code': '1', 'name': 'The First Chapter'}","{'usd': '0.05', 'usd_foil': '0.24'}"
crd_a3bd1e1b8b3a4ca094cefbc1d7bf4d60,Simba,Protective Cub,normal,2023-08-18,"{'digital': {'small': 'https://cards.lorcast.io/card/digital/small/crd_a3bd1e1b8b3a4ca094cefbc1d7bf4d60.avif?1709690747', 'normal': 'https://cards.lorcast.io/card/digital/normal/crd_a3bd1e1b8b3a4ca094cefbc1d7bf4d60.avif?1709690747', 'large': 'https://cards.lorcast.io/card/digital/large/crd_a3bd1e1b8b3a4ca094cefbc1d7bf4d60.avif?1709690747'}}",2,True,Amber,,['Character'],"['Storyborn', 'Hero', 'Prince']",Bodyguard (This character may enter play exerted. An opposing character who challenges one of your characters must choose one with Bodyguard if able.),['Bodyguard'],,2,3,1,Common,['Filipe Laurentino'],20,en,Courage comes in all sizes.,503356,{'core': 'legal'},"{'id': 'set_7ecb0e0c71af496a9e0110e23824e0a5', 'code': '1', 'name': 'The First Chapter'}","{'usd': '0.16', 'usd_foil': '0.95'}"
crd_78e5de38150f48c5b9813c08cc534dfb,Stitch,Carefree Surfer,normal,2023-08-18,"{'digital': {'small': 'https://cards.lorcast.io/card/digital/small/crd_78e5de38150f48c5b9813c08cc534dfb.avif?1709690747', 'normal': 'https://cards.lorcast.io/card/digital/normal/crd_78e5de38150f48c5b9813c08cc534dfb.avif?1709690747', 'large': 'https://cards.lorcast.io/card/digital/large/crd_78e5de38150f48c5b9813c08cc534dfb.avif?1709690747'}}",7,True,Amber,,['Character'],"['Dreamborn', 'Hero', 'Alien']","OHANA When you play this character, if you have 2 or more other characters in play, you may draw 2 cards.",[],,4,8,2,Legendary,['Marcel Berg'],21,en,"""So you're from outer space, huh? I hear the surfing's choice.""
—David",502009,{'core': 'legal'},"{'id': 'set_7ecb0e0c71af496a9e0110e23824e0a5', 'code': '1', 'name': 'The First Chapter'}","{'usd': '3.62', 'usd_foil': '25.01'}"
crd_a46be9bd3971477695ee84d0f25ff88d,Stitch,New Dog,normal,2023-08-18,"{'digital': {'small': 'https://cards.lorcast.io/card/digital/small/crd_a46be9bd3971477695ee84d0f25ff88d.avif?1709690747', 'normal': 'https://cards.lorcast.io/card/digital/normal/crd_a46be9bd3971477695ee84d0f25ff88d.avif?1709690747', 'large': 'https://cards.lorcast.io/card/digital/large/crd_a46be9bd3971477695ee84d0f25ff88d.avif?1709690747'}}",1,True,Amber,,['Character'],"['Storyborn', 'Hero', 'Alien']",,[],,2,2,1,Common,['Alex Accorsi'],22,en,"Lilo: ""David! I got a new dog!""
David: ""Auwe!...You sure it's a dog?""
Lilo: ""Uh-huh. He used to be a collie before he got ran over.""",493499,{'core': 'legal'},"{'id': 'set_7ecb0e0c71af496a9e0110e23824e0a5', 'code': '1', 'name': 'The First Chapter'}","{'usd': '0.08', 'usd_foil': '0.68'}"
crd_c32945ecfd3d44859d3af3841977a737,Stitch,Rock Star,normal,2023-08-18,"{'digital': {'small': 'https://cards.lorcast.io/card/digital/small/crd_c32945ecfd3d44859d3af3841977a737.avif?1709690747', 'normal': 'https://cards.lorcast.io/card/digital/normal/crd_c32945ecfd3d44859d3af3841977a737.avif?1709690747', 'large': 'https://cards.lorcast.io/card/digital/large/crd_c32945ecfd3d44859d3af3841977a737.avif?1709690747'}}",6,True,Amber,,['Character'],"['Floodborn', 'Hero', 'Alien']","Shift 4 (You may pay 4 {I} to play this on top of one of your characters named Stitch.)
ADORING FANS Whenever you play a character with cost 2 or less, you may exert them to draw a card.",['Shift'],,3,5,3,Super_rare,['Simangaliso Sibaya'],23,en,The best part about a beachside concert is that there's always room for one more.,492708,{'core': 'legal'},"{'id': 'set_7ecb0e0c71af496a9e0110e23824e0a5', 'code': '1', 'name': 'The First Chapter'}","{'usd': '1.48', 'usd_foil': '4.39'}"
crd_a7a780b01376481388b871a1b533de08,Timon,Grub Rustler,normal,2023-08-18,"{'digital': {'small': 'https://cards.lorcast.io/card/digital/small/crd_a7a780b01376481388b871a1b533de08.avif?1709690747', 'normal': 'https://cards.lorcast.io/card/digital/normal/crd_a7a780b01376481388b871a1b533de08.avif?1709690747', 'large': 'https://cards.lorcast.io/card/digital/large/crd_a7a780b01376481388b871a1b533de08.avif?1709690747'}}",1,True,Amber,,['Character'],"['Storyborn', 'Ally']","TASTES LIKE CHICKEN When you play this character, you may remove up to 1 damage from chosen character.",[],,1,2,1,Common,['Juan Diego Leon'],24,en,"""There's all manner of tasty treats in the world—ya just gotta know where to look.""",497197,{'core': 'legal'},"{'id': 'set_7ecb0e0c71af496a9e0110e23824e0a5', 'code': '1', 'name': 'The First Chapter'}","{'usd': '0.05', 'usd_foil': '0.28'}"
crd_49437643a6454368a630d12ba20c146f,Be Our Guest,,normal,2023-08-18,"{'digital': {'small': 'https://cards.lorcast.io/card/digital/small/crd_49437643a6454368a630d12ba20c146f.avif?1709690747', 'normal': 'https://cards.lorcast.io/card/digital/normal/crd_49437643a6454368a630d12ba20c146f.avif?1709690747', 'large': 'https://cards.lorcast.io/card/digital/large/crd_49437643a6454368a630d12ba20c146f.avif?1709690747'}}",2,True,Amber,,"['Action', 'Song']",,"(A character with cost 2 or more can {E} to sing this song for free.)
Look at the top 4 cards of your deck. You may reveal a character card and put it into your hand. Put the rest on the bottom of your deck in any order.",[],,,,,Uncommon,['R. La Barbera / L. Giammichele'],25,en,,494110,{'core': 'legal'},"{'id': 'set_7ecb0e0c71af496a9e0110e23824e0a5', 'code': '1', 'name': 'The First Chapter'}","{'usd': '0.09', 'usd_foil': '0.79'}"
crd_3a593c8dd2fe4552a4874f7346527387,Control Your Temper!,,normal,2023-08-18,"{'digital': {'small': 'https://cards.lorcast.io/card/digital/small/crd_3a593c8dd2fe4552a4874f7346527387.avif?1709690747', 'normal': 'https://cards.lorcast.io/card/digital/normal/crd_3a593c8dd2fe4552a4874f7346527387.avif?1709690747', 'large': 'https://cards.lorcast.io/card/digital/large/crd_3a593c8dd2fe4552a4874f7346527387.avif?1709690747'}}",1,True,Amber,,['Action'],,Chosen character gets -2 {S} this turn.,[],,,,,Common,['Amber Kommavongsa'],26,en,,493501,{'core': 'legal'},"{'id': 'set_7ecb0e0c71af496a9e0110e23824e0a5', 'code': '1', 'name': 'The First Chapter'}","{'usd': '0.03', 'usd_foil': '0.22'}"
crd_2894c74113e7436abf095fe35dde6ea8,Hakuna Matata,,normal,2023-08-18,"{'digital': {'small': 'https://cards.lorcast.io/card/digital/small/crd_2894c74113e7436abf095fe35dde6ea8.avif?1709690747', 'normal': 'https://cards.lorcast.io/card/digital/normal/crd_2894c74113e7436abf095fe35dde6ea8.avif?1709690747', 'large': 'https://cards.lorcast.io/card/digital/large/crd_2894c74113e7436abf095fe35dde6ea8.avif?1709690747'}}",4,True,Amber,,"['Action', 'Song']",,"(A character with cost 4 or more can {E} to sing this song for free.)
Remove up to 3 damage from each of your characters.",[],,,,,Common,['Juan Diego Leon'],27,en,What a wonderful phrase!,506124,{'core': 'legal'},"{'id': 'set_7ecb0e0c71af496a9e0110e23824e0a5', 'code': '1', 'name': 'The First Chapter'}","{'usd': '0.04', 'usd_foil': '0.29'}"
crd_ce4f357a6aa24302ba5553eefea4930a,Healing Glow,,normal,2023-08-18,"{'digital': {'small': 'https://cards.lorcast.io/card/digital/small/crd_ce4f357a6aa24302ba5553eefea4930a.avif?1709690747', 'normal': 'https://cards.lorcast.io/card/digital/normal/crd_ce4f357a6aa24302ba5553eefea4930a.avif?1709690747', 'large': 'https://cards.lorcast.io/card/digital/large/crd_ce4f357a6aa24302ba5553eefea4930a.avif?1709690747'}}",1,True,Amber,,['Action'],,Remove up to 2 damage from chosen character.,[],,,,,Common,['Philipp Kruse'],28,en,"""Don't freak out!""
—Rapunzel",492713,{'core': 'legal'},"{'id': 'set_7ecb0e0c71af496a9e0110e23824e0a5', 'code': '1', 'name': 'The First Chapter'}","{'usd': '0.06', 'usd_foil': '0.27'}"
crd_4d9c8fd7ab2241d9893ca3ad6a31daed,Just in Time,,normal,2023-08-18,"{'digital': {'small': 'https://cards.lorcast.io/card/digital/small/crd_4d9c8fd7ab2241d9893ca3ad6a31daed.avif?1709690747', 'normal': 'https://cards.lorcast.io/card/digital/normal/crd_4d9c8fd7ab2241d9893ca3ad6a31daed.avif?1709690747', 'large': 'https://cards.lorcast.io/card/digital/large/crd_4d9c8fd7ab2241d9893ca3ad6a31daed.avif?1709690747'}}",3,False,Amber,,['Action'],,You may play a character with cost 5 or less for free.,[],,,,,Rare,['Leonardo Giammichele'],29,en,The best heroes always arrive at the perfect moment—whether they know it or not.,492737,{'core': 'legal'},"{'id': 'set_7ecb0e0c71af496a9e0110e23824e0a5', 'code': '1', 'name': 'The First Chapter'}","{'usd': '0.49', 'usd_foil': '2.71'}"
crd_df53bbf046f542d19202f4e11bbe9d5b,Part of Your World,,normal,2023-08-18,"{'digital': {'small': 'https://cards.lorcast.io/card/digital/small/crd_df53bbf046f542d19202f4e11bbe9d5b.avif?1709690747', 'normal': 'https://cards.lorcast.io/card/digital/normal/crd_df53bbf046f542d19202f4e11bbe9d5b.avif?1709690747', 'large': 'https://cards.lorcast.io/card/digital/large/crd_df53bbf046f542d19202f4e11bbe9d5b.avif?1709690747'}}",3,False,Amber,,"['Action', 'Song']",,"(A character with cost 3 or more can {E} to sing this song for free.)
Return a character card from your discard to your hand.",[],,,,,Rare,['Samanta Erdini'],30,en,"What would I give
If I could live out of these waters?",493481,{'core': 'legal'},"{'id': 'set_7ecb0e0c71af496a9e0110e23824e0a5', 'code': '1', 'name': 'The First Chapter'}","{'usd': '0.1', 'usd_foil': '1.34'}"
crd_c91b8810b881450faa5942daf03e03ef,You Have Forgotten Me,,normal,2023-08-18,"{'digital': {'small': 'https://cards.lorcast.io/card/digital/small/crd_c91b8810b881450faa5942daf03e03ef.avif?1709690747', 'normal': 'https://cards.lorcast.io/card/digital/normal/crd_c91b8810b881450faa5942daf03e03ef.avif?1709690747', 'large': 'https://cards.lorcast.io/card/digital/large/crd_c91b8810b881450faa5942daf03e03ef.avif?1709690747'}}",4,True,Amber,,['Action'],,Each opponent chooses and discards 2 cards.,[],,,,,Uncommon,['Alice Pisoni'],31,en,"""You are more than what you have become.""
—Mufasa",508716,{'core': 'legal'},"{'id': 'set_7ecb0e0c71af496a9e0110e23824e0a5', 'code': '1', 'name': 'The First Chapter'}","{'usd': '0.25', 'usd_foil': '2.7'}"
